vin,price
5J8YD4H05LL032532,51096.074
KNAE45LC8K6050784,34647.375
5XYZGDABXCG149606,9136.163
1G1ZE5ST6HF197903,17352.22
KL4MMDSL6LB106699,26193.133
1FMJK1JT8KEA01413,47409.71
1FD8W3HT9LEC47909,49263.51
2FMPK4J93GBB49987,18799.285
3C63R3EL0LG264012,67208.23
1GC4YNE76LF322205,56538.926
5N1AT2MV9LC793052,26654.15
1FTEW1E57LFC48715,53504.113
4T1BF1FK6HU364073,15123.082
WA1BNAFY3J2034396,31039.566
JN1AZ4EH3LM822601,47955.695
2HGFC2F85LH559958,22217.121
1GTW7FCG7F1194269,17761.56
5NPD84LF0KH423636,13701.421
JTMD6RFVXLD006313,35441.97
1ZVBP8AM8E5295019,13655.044
WAUG8AFC1HN124613,29649.998
2C3CDZAG8LH161671,32144.078
1GYS4GKJ1LR252703,66361.945
1FTFW1EG3HKE07623,39921.457
2T2JGMDA8LC054405,45776.16
1C4NJRFB5GD637260,10237.78
2T2AZMDA5LC238064,51396.797
SALSF2D45CA739985,16042.493
1G1BE5SM6J7132706,17755.127
2GNALPEK3D6268320,16261.846
1GTG6CEN7H1256354,29373.771
JTDEPMAE0MJ128824,29905.84
5TDXZ3DC8HS823665,26102.117
3GNAXHEV2LS715210,25703.758
1FTEW1E58KFA74202,57023.242
JF2SJAEC6JH587372,13846.563
1GCRCPEC3FZ204659,25196.002
3N1CP5BV9LL530248,20799.662
1C6SRFJT5LN349440,45422.594
1HGCV3F98LA008563,31585.066
5YFBURHEXJP841333,15971.659
LRBFX3SX4LD122034,38434.89
KNMAT2MV0LP539291,29454.822
3LN6L5E99LR603888,39313.938
1GC1KXCGXBF101479,21579.006
2HKRW1H28LH404799,25271.918
WVWJK73C88E109527,5218.55
WP1AA2AY3LDA10339,75456.72
1FMCU9GD3JUC37330,15945.445
5TDGZRBH4LS516195,42353.992
JM1DKDC73J1324292,16920.707
JTEZU14R460079669,9696.335
1C4RJFAG1CC156277,10647.566
5NPD84LF2KH447940,15087.724
