vin,price
5J8YD4H05LL032532,52487.49587628541
KNAE45LC8K6050784,41053.765980375414
5XYZGDABXCG149606,9456.965945313284
1G1ZE5ST6HF197903,16736.624219579797
KL4MMDSL6LB106699,26364.38267398087
1FMJK1JT8KEA01413,52573.34271883291
1FD8W3HT9LEC47909,48135.65348450359
2FMPK4J93GBB49987,17989.12110498256
3C63R3EL0LG264012,67577.55779742631
1GC4YNE76LF322205,56567.848305274296
5N1AT2MV9LC793052,25775.708278320148
1FTEW1E57LFC48715,54547.771311780394
4T1BF1FK6HU364073,15538.03781446171
WA1BNAFY3J2034396,32023.75987395549
JN1AZ4EH3LM822601,50106.44848339443
2HGFC2F85LH559958,21422.137413823213
1GTW7FCG7F1194269,23027.54559980928
5NPD84LF0KH423636,12963.087773566116
JTMD6RFVXLD006313,37144.517862093126
1ZVBP8AM8E5295019,12838.473530903508
WAUG8AFC1HN124613,30343.065799852386
2C3CDZAG8LH161671,29192.35540992713
1GYS4GKJ1LR252703,71332.05814503407
1FTFW1EG3HKE07623,38473.356139586154
2T2JGMDA8LC054405,51967.192588726415
1C4NJRFB5GD637260,11687.510736392847
2T2AZMDA5LC238064,54423.636663192505
SALSF2D45CA739985,16718.647650195657
1G1BE5SM6J7132706,18340.60688124678
2GNALPEK3D6268320,11721.634033242131
1GTG6CEN7H1256354,28818.77102286046
JTDEPMAE0MJ128824,28669.277399303486
5TDXZ3DC8HS823665,24754.72325853067
3GNAXHEV2LS715210,26541.97345553444
1FTEW1E58KFA74202,56365.4974328314
JF2SJAEC6JH587372,19340.46374475119
1GCRCPEC3FZ204659,21840.15463157186
3N1CP5BV9LL530248,19490.5259076683
1C6SRFJT5LN349440,45242.50685279289
1HGCV3F98LA008563,33939.28960589507
5YFBURHEXJP841333,17088.592230582017
LRBFX3SX4LD122034,40077.24681495907
KNMAT2MV0LP539291,28302.37242776359
3LN6L5E99LR603888,39770.57739525835
1GC1KXCGXBF101479,22336.82975480704
2HKRW1H28LH404799,26542.372261445507
WVWJK73C88E109527,3192.199639197115
WP1AA2AY3LDA10339,76868.78102738908
1FMCU9GD3JUC37330,17139.937189977194
5TDGZRBH4LS516195,43200.77804766717
JM1DKDC73J1324292,16416.647645299585
JTEZU14R460079669,7843.613964189277
1C4RJFAG1CC156277,11587.73683983427
5NPD84LF2KH447940,13943.976194013867
3GNCJPSB1LL217086,21836.88265242454
2T3H1RFV8LW100922,33095.104942876846
KNDJT2A59C7467334,10073.2410110928
MAJ6S3KL5LC389546,22958.071970489807
19XFC2F54HE057692,16409.153005492895
ML32A5HJ1LH005040,11980.716541156984
3CZRU5H78GM705981,15833.865012702607
1G1105S37JU148349,20523.81066627837
WDAPF1CD3GP202529,34875.28420435767
5FNYF8H25LB014987,40509.33950489893
JN8AT2MV1LW135927,26700.597682537715
5J6RW2H29LL006349,30749.141250888286
3FA6P0CD6LR218247,24286.391245920044
3FA6P0H71HR260464,13675.867858989202
LRBFX1SA7LD078885,36043.01293937908
JTMWFREV8HD103530,20455.1227568548
5N1AT2MV8LC797500,26602.793709764424
1FTEW1E49LFB75063,57339.287339238384
3KPC24A64LE126116,15841.254334349567
3N1AB7APXJY267272,14623.857333515287
1FMCU9JD6HUD02044,17832.009517953895
1G6DM5RK2L0146138,38099.639389018026
1FTEW1CP0LKE35998,35789.164874267444
5N1AT2MV4LC777812,28993.269202437725
KL4CJASB1JB637591,17306.26903861214
2C3CDXHG6KH512439,21823.506780095246
WA1BCCFSXJR006633,23808.570955170857
KL7CJNSB7LB064077,21408.12651551257
2G1WT58KX89176570,6384.3169466791915
KL7CJKSB5LB038267,19488.887133312746
JM1GL1UM8L1522883,24840.090739566058
2T1BURHE3KC238290,15129.846445369549
19XFC1F73LE218425,24234.93274249512
4T1B11HK7KU766185,25246.06748902426
1C4BJWEG2GL181755,31493.719661727606
1G6AX5SX4E0165115,23648.52179631265
3C4NJCBB3MT505865,28055.50003323419
5TDDGRFH4KS067490,41029.46762743781
3HGGK5H48LM722669,19143.73056519263
JM3KFBCM5L0794717,29439.626393544568
1GT121C80BF210443,35547.375507765195
4S4BSAFC0H3403427,20402.209044295738
3GKALPEV5KL194348,20066.549088870874
2GKFLTEK9H6239924,20359.9680593358
WA1B4AFY5L2039430,59125.58082631536
WDDZF4JB7HA266320,37685.745776574644
3FA6P0HD2LR261038,23074.70649833543
3C4NJCBB8MT518157,29173.49250094884
1G1ZG5ST6LF153368,23125.907666073308
WAUANAF48HN064854,25529.379734722104
1GKKNULS2LZ231730,45526.20752207119
3GCUKREC1FG302470,25723.44512320543
2C3CCAGG3JH267597,21509.428276456034
SCFRMFAW3LGL09248,127912.30489947938
3KPA24AD1LE334136,16491.12599180237
JTEBU5JR3J5561722,37755.94431738945
ZN661XUS6HX222524,58850.265938145436
1G1PE5SB8E7365819,6179.053144517427
1FA6P8CF3K5152712,40316.287708884935
1NXBR32E16Z701670,3401.22010243154
1FMCU0G63LUB57011,29534.473679095034
JF2SJAWC1JH428046,25033.503525079286
JTEBU5JRXA5014351,13458.712954609444
1D8HB58D14F142735,9678.073345440771
JF2SKAUC2LH587595,32991.40576149146
3GNCJLSB5LL310685,20754.643578085663
1C4HJXDG1KW536391,37142.89156213044
3VV2B7AX6LM003754,26569.313301659036
3N1CN8EV0LL823779,18143.125006201306
JTJBM7FX6H5155402,39401.48122082758
7FARW2H59KE047828,31716.774655516212
5N1AT2MT6FC914123,13630.433472397117
KL7CJPSB8GB536739,16945.662219566504
1FTEW1E52LFB96569,47018.399711839826
5N1DL0MMXLC523921,53983.40676632958
1C6SRFHT4KN517654,47617.813042639646
JN8AT2MT8LW017131,25785.71844817212
3FA6P0HD1HR376950,18304.905472635015
2CNFLEEC6B6371378,6399.332119833252
5J8YD3H30JL008902,35069.26787019632
1FTEW1EG0GFA42711,36545.32515767964
SALTY19454A839636,20231.421663188343
1HGCV2F54LA024816,34230.56525094337
1GTU9FEL1LZ324474,64685.44591093577
JF2SH6CC4AH764464,9116.255251116349
1GKKNMLS2LZ194825,40827.714982658916
ZFBCFYDT0GP501036,18850.116490582957
2G1FC3DD7B9209737,12250.134220178825
1C4RJFAGXLC413856,41509.4446373965
KM8J23A42KU895936,17555.94119502636
5XYPGDA36LG679989,28207.935644182286
4T1B11HK9KU191538,26107.404722519343
1HGCR2F35HA130072,16644.401334409155
3VV3B7AX6JM019888,18131.762587612964
5NMS2CAD7LH178191,25690.499612592615
KMHD84LF1LU003547,19869.382151383543
3GCNWAEH2LG345507,28783.602268694034
