vin,price
5J8YD4H05LL032532,54314.42546937968
KNAE45LC8K6050784,44449.90706578723
5XYZGDABXCG149606,9122.423395453732
1G1ZE5ST6HF197903,15998.776952335376
KL4MMDSL6LB106699,26610.250829046574
1FMJK1JT8KEA01413,50454.334213123824
1FD8W3HT9LEC47909,50454.334213123824
2FMPK4J93GBB49987,17741.917436511398
3C63R3EL0LG264012,68917.87443694753
1GC4YNE76LF322205,56970.67498012967
5N1AT2MV9LC793052,25362.90987668564
1FTEW1E57LFC48715,53824.11124517611
4T1BF1FK6HU364073,16337.502331628748
WA1BNAFY3J2034396,34062.62701415509
JN1AZ4EH3LM822601,47686.222429136586
2HGFC2F85LH559958,21248.252917876507
1GTW7FCG7F1194269,28720.63162417034
5NPD84LF0KH423636,12979.758249667404
JTMD6RFVXLD006313,38758.029267677695
1ZVBP8AM8E5295019,11767.019391564338
WAUG8AFC1HN124613,32031.116842733045
2C3CDZAG8LH161671,29530.937205806957
1GYS4GKJ1LR252703,75057.6836805993
1FTFW1EG3HKE07623,37165.14994177043
2T2JGMDA8LC054405,47829.22190785649
1C4NJRFB5GD637260,12115.389793886292
2T2AZMDA5LC238064,53824.11124517611
SALSF2D45CA739985,16450.611183208403
1G1BE5SM6J7132706,19860.781253227226
2GNALPEK3D6268320,11767.019391564338
1GTG6CEN7H1256354,27931.44574751096
JTDEPMAE0MJ128824,31323.37773990565
5TDXZ3DC8HS823665,24569.04189713433
3GNAXHEV2LS715210,26216.740586249627
1FTEW1E58KFA74202,56332.82270204208
JF2SJAEC6JH587372,20048.702967316367
1GCRCPEC3FZ204659,22639.99940012266
3N1CP5BV9LL530248,19622.369426733505
1C6SRFJT5LN349440,43990.797762667404
1HGCV3F98LA008563,32880.51166513428
5YFBURHEXJP841333,17009.394168207058
LRBFX3SX4LD122034,38758.029267677695
KNMAT2MV0LP539291,27236.314066029365
3LN6L5E99LR603888,40593.887792709196
1GC1KXCGXBF101479,18194.363382651718
2HKRW1H28LH404799,26128.42116706366
WVWJK73C88E109527,4130.925437930873
WP1AA2AY3LDA10339,74314.42719691191
1FMCU9GD3JUC37330,18182.03911577428
5TDGZRBH4LS516195,42204.18664638906
JM1DKDC73J1324292,18062.644719261836
JTEZU14R460079669,7894.24012283855
1C4RJFAG1CC156277,11910.750638714735
5NPD84LF2KH447940,13994.219609266638
3GNCJPSB1LL217086,21675.4948645843
2T3H1RFV8LW100922,34062.62701415509
KNDJT2A59C7467334,10279.899463139547
MAJ6S3KL5LC389546,22383.647105693442
19XFC2F54HE057692,15800.157857329561
ML32A5HJ1LH005040,11767.019391564338
3CZRU5H78GM705981,15500.461913467792
1G1105S37JU148349,19250.143788384852
WDAPF1CD3GP202529,30231.259377670405
5FNYF8H25LB014987,40454.740904921375
JN8AT2MV1LW135927,25362.90987668564
5J6RW2H29LL006349,31323.37773990565
3FA6P0CD6LR218247,22741.801176207762
3FA6P0H71HR260464,14628.496193339612
LRBFX1SA7LD078885,37625.645636479094
JTMWFREV8HD103530,19622.369426733505
5N1AT2MV8LC797500,29728.947021035834
1FTEW1E49LFB75063,61035.44869150107
3KPC24A64LE126116,16178.614974979437
3N1AB7APXJY267272,15500.461913467792
1FMCU9JD6HUD02044,18194.363382651718
1G6DM5RK2L0146138,38156.664145411
1FTEW1CP0LKE35998,35573.85465761928
5N1AT2MV4LC777812,29728.947021035834
KL4CJASB1JB637591,18194.363382651718
2C3CDXHG6KH512439,24678.966256544227
WA1BCCFSXJR006633,22259.872472066978
KL7CJNSB7LB064077,21248.252917876507
2G1WT58KX89176570,7185.564711793102
KL7CJKSB5LB038267,19716.917439230052
JM1GL1UM8L1522883,25258.18396676102
2T1BURHE3KC238290,15730.05337925975
19XFC1F73LE218425,24351.523139866375
4T1B11HK7KU766185,25222.227315864176
1C4BJWEG2GL181755,33128.254322142195
1G6AX5SX4E0165115,25362.90987668564
3C4NJCBB3MT505865,25362.90987668564
5TDDGRFH4KS067490,38758.029267677695
3HGGK5H48LM722669,20048.702967316367
JM3KFBCM5L0794717,30231.259377670405
1GT121C80BF210443,22022.739928224397
4S4BSAFC0H3403427,21250.01471534239
3GKALPEV5KL194348,21267.394620257764
2GKFLTEK9H6239924,21248.252917876507
WA1B4AFY5L2039430,61035.44869150107
WDDZF4JB7HA266320,38156.664145411
3FA6P0HD2LR261038,22383.647105693442
3C4NJCBB8MT518157,28821.208125197416
1G1ZG5ST6LF153368,22448.796410219948
WAUANAF48HN064854,25258.18396676102
1GKKNULS2LZ231730,44541.5590096541
3GCUKREC1FG302470,24569.04189713433
2C3CCAGG3JH267597,21441.024070883435
SCFRMFAW3LGL09248,129155.29239255964
3KPA24AD1LE334136,16407.10462186142
JTEBU5JR3J5561722,38160.53288987049
ZN661XUS6HX222524,56332.82270204208
1G1PE5SB8E7365819,7185.564711793102
1FA6P8CF3K5152712,39988.5748793856
1NXBR32E16Z701670,4446.928920566743
1FMCU0G63LUB57011,34484.512531823864
JF2SJAWC1JH428046,25007.5242693003
JTEBU5JRXA5014351,12004.290738898439
1D8HB58D14F142735,12004.290738898439
JF2SKAUC2LH587595,33364.80847622032
3GNCJLSB5LL310685,20592.46045397637
1C4HJXDG1KW536391,36797.56181054293
3VV2B7AX6LM003754,27697.462769714093
3N1CN8EV0LL823779,17456.349644568
JTJBM7FX6H5155402,39488.039490258845
