vin,price
5J8YD4H05LL032532,52712.625
KNAE45LC8K6050784,41836.992
5XYZGDABXCG149606,8491.829
1G1ZE5ST6HF197903,17212.414
KL4MMDSL6LB106699,27294.5
1FMJK1JT8KEA01413,52233.277
1FD8W3HT9LEC47909,45694.145
2FMPK4J93GBB49987,18661.508
3C63R3EL0LG264012,63697.543
1GC4YNE76LF322205,57615.24
5N1AT2MV9LC793052,25245.836
1FTEW1E57LFC48715,54377.895
4T1BF1FK6HU364073,15258.424
WA1BNAFY3J2034396,31442.398
JN1AZ4EH3LM822601,53286.668
2HGFC2F85LH559958,20934.17
1GTW7FCG7F1194269,21335.373
5NPD84LF0KH423636,13415.909
JTMD6RFVXLD006313,37173.035
1ZVBP8AM8E5295019,13481.493
WAUG8AFC1HN124613,30669.174
2C3CDZAG8LH161671,28241.014
1GYS4GKJ1LR252703,63331.715
1FTFW1EG3HKE07623,40214.35
2T2JGMDA8LC054405,52389.434
1C4NJRFB5GD637260,11049.554
2T2AZMDA5LC238064,56768.8
SALSF2D45CA739985,17144.074
1G1BE5SM6J7132706,17638.195
2GNALPEK3D6268320,11509.449
1GTG6CEN7H1256354,29750.756
JTDEPMAE0MJ128824,27617.717
5TDXZ3DC8HS823665,24174.143
3GNAXHEV2LS715210,26761.5
1FTEW1E58KFA74202,57156.08
JF2SJAEC6JH587372,19969.48
1GCRCPEC3FZ204659,21695.633
3N1CP5BV9LL530248,19083.877
1C6SRFJT5LN349440,46823.273
1HGCV3F98LA008563,31954.465
5YFBURHEXJP841333,17042.24
LRBFX3SX4LD122034,40956.2
KNMAT2MV0LP539291,28668.994
3LN6L5E99LR603888,37177.395
1GC1KXCGXBF101479,24507.205
2HKRW1H28LH404799,26296.293
WVWJK73C88E109527,4326.3423
WP1AA2AY3LDA10339,81232.586
1FMCU9GD3JUC37330,17063.225
5TDGZRBH4LS516195,42549.92
JM1DKDC73J1324292,16412.377
JTEZU14R460079669,7497.946
1C4RJFAG1CC156277,12220.697
5NPD84LF2KH447940,14143.731
3GNCJPSB1LL217086,21588.688
2T3H1RFV8LW100922,32758.982
KNDJT2A59C7467334,10529.096
MAJ6S3KL5LC389546,22842.621
19XFC2F54HE057692,16931.303
ML32A5HJ1LH005040,12670.702
3CZRU5H78GM705981,15676.783
1G1105S37JU148349,21571.533
WDAPF1CD3GP202529,37352.336
5FNYF8H25LB014987,39702.805
JN8AT2MV1LW135927,27092.496
5J6RW2H29LL006349,30082.662
3FA6P0CD6LR218247,24460.52
3FA6P0H71HR260464,13278.229
LRBFX1SA7LD078885,34699.22
JTMWFREV8HD103530,21335.373
5N1AT2MV8LC797500,25910.72
1FTEW1E49LFB75063,58301.613
3KPC24A64LE126116,16262.341
3N1AB7APXJY267272,15071.887
1FMCU9JD6HUD02044,17874.912
1G6DM5RK2L0146138,38473.953
1FTEW1CP0LKE35998,39088.625
5N1AT2MV4LC777812,29771.922
KL4CJASB1JB637591,16652.443
2C3CDXHG6KH512439,20471.576
WA1BCCFSXJR006633,24424.916
KL7CJNSB7LB064077,21218.637
2G1WT58KX89176570,6980.0244
KL7CJKSB5LB038267,20287.357
JM1GL1UM8L1522883,25854.36
2T1BURHE3KC238290,15895.28
19XFC1F73LE218425,24571.139
4T1B11HK7KU766185,26113.775
1C4BJWEG2GL181755,30946.824
1G6AX5SX4E0165115,21226.14
3C4NJCBB3MT505865,27845.55
5TDDGRFH4KS067490,42326.715
3HGGK5H48LM722669,18453.705
JM3KFBCM5L0794717,29557.564
1GT121C80BF210443,35215.133
4S4BSAFC0H3403427,22752.564
3GKALPEV5KL194348,21854.463
2GKFLTEK9H6239924,19858.678
WA1B4AFY5L2039430,64118.918
WDDZF4JB7HA266320,38259.496
3FA6P0HD2LR261038,23492.873
3C4NJCBB8MT518157,29682.512
1G1ZG5ST6LF153368,23577.773
WAUANAF48HN064854,25350.246
1GKKNULS2LZ231730,45780.46
3GCUKREC1FG302470,24543.37
2C3CCAGG3JH267597,21416.348
SCFRMFAW3LGL09248,137581.86
3KPA24AD1LE334136,16921.127
JTEBU5JR3J5561722,36504.0
ZN661XUS6HX222524,62349.58
1G1PE5SB8E7365819,6608.7188
1FA6P8CF3K5152712,27528.754
1NXBR32E16Z701670,4008.5588
1FMCU0G63LUB57011,27692.143
JF2SJAWC1JH428046,24678.418
JTEBU5JRXA5014351,13651.983
1D8HB58D14F142735,9452.988
JF2SKAUC2LH587595,33767.695
3GNCJLSB5LL310685,20494.385
1C4HJXDG1KW536391,38797.26
3VV2B7AX6LM003754,27116.3
3N1CN8EV0LL823779,18607.133
JTJBM7FX6H5155402,38200.25
7FARW2H59KE047828,31835.271
5N1AT2MT6FC914123,12842.5205
KL7CJPSB8GB536739,17042.24
1FTEW1E52LFB96569,43875.844
5N1DL0MMXLC523921,56768.8
1C6SRFHT4KN517654,49151.203
JN8AT2MT8LW017131,26099.775
3FA6P0HD1HR376950,18997.977
2CNFLEEC6B6371378,7299.813
5J8YD3H30JL008902,35805.188
1FTEW1EG0GFA42711,36176.473
SALTY19454A839636,22375.51
1HGCV2F54LA024816,30453.395
1GTU9FEL1LZ324474,62181.957
JF2SH6CC4AH764464,9350.826
1GKKNMLS2LZ194825,41953.242
ZFBCFYDT0GP501036,18810.73
2G1FC3DD7B9209737,16515.297
1C4RJFAGXLC413856,41621.844
KM8J23A42KU895936,17217.344
5XYPGDA36LG679989,27607.24
4T1B11HK9KU191538,27156.703
1HGCR2F35HA130072,17729.42
3VV3B7AX6JM019888,18845.496
5NMS2CAD7LH178191,24940.041
KMHD84LF1LU003547,20504.488
3GCNWAEH2LG345507,29996.268
3KPF24AD2LE194278,16720.209
2HGFA16529H304781,7848.4326
WBAWC73528E064392,11328.8
2T3DFREV7FW303208,18219.723
3HGGK5H85LM725063,19032.9
KL8CB6SA6LC457701,21304.22
ZACNJABB6LPL57668,20573.996
1V2NE2CA3LC211895,46349.406
1V2YE2CA1LC223427,44823.797
KL4CJESB8KB832869,20250.06
1N4BL4BV7LC214184,21596.314
1C4RJFBG7LC341397,37958.58
SBM22GCA3LW000602,100719.586
2T1BURHE2HC914723,12985.381
5GAKVCED2BJ314173,11594.175
3VWG57AU7LM011859,22644.816
4T1BF1FK9HU433922,16950.025
3GCPCREA1CG307365,12733.125
1C4PJLCB5LD648974,23622.17
5XXGT4L35KG337316,17266.553
1FMHK7D88BGA49099,8657.918
2T3DFREV2JW849858,24804.729
3KPC24A3XKE049417,13143.529
WBAJE5C33HG916082,42127.035
